Asset ID,Lab,Asset Category,Asset Status,Purchase Year,Purchase Cost,Usage Frequency,Breakdown Frequency,Total Maintenance Cost,Useful Life (Years),Scrap Value
LAB14-PC38,LAB 14,Keyboard (Brand-HP),N,2020,31634,Medium,3,7095,5,3163
LAB15-PC61,LAB 15,Keyboard (Brand-HP),Y,2023,27288,Medium,2,2242,5,2728
LAB10-PC45,LAB 10,Keyboard (Brand-HP),Y,2023,27146,High,2,7506,5,2714
LAB16-PC45,LAB 16,Keyboard (Brand-HP),N,2023,29270,High,7,7672,5,2927
LAB12-PC48,LAB 12,Keyboard (Brand-HP),N,2023,33367,High,8,14848,5,3336
LAB12-PC49,LAB 12,Keyboard (Brand-HP),Y,2023,29179,High,5,8500,5,2917
LAB12-PC50,LAB 12,Monitor (Brand-HP),Y,2021,32645,High,0,0,7,3264
LAB12-PC51,LAB 12,Monitor (Brand-HP),N,2018,34347,Medium,6,11898,7,3434
LAB13-PC51,LAB 13,Keyboard (Brand-HP),N,2020,32931,Medium,3,4878,5,3293
LAB10-PC46,LAB 10,Keyboard (Brand-HP),N,2020,28624,Medium,5,14905,5,2862
LAB13-PC52,LAB 13,Monitor (Brand-HP),Y,2019,30923,Medium,1,3658,7,3092
LAB13-PC53,LAB 13,Monitor (Brand-HP),N,2018,32964,High,4,12568,7,3296
LAB10-PC47,LAB 10,Monitor (Brand-HP),Y,2022,29725,Medium,0,0,7,2972
LAB14-PC39,LAB 14,Keyboard (Brand-HP),N,2020,27503,Medium,2,2416,5,2750
LAB10-PC48,LAB 10,Monitor (Brand-HP),Y,2023,27773,Medium,4,15548,7,2777
LAB13-PC54,LAB 13,Monitor (Brand-HP),N,2018,28909,High,2,7432,7,2890
LAB16-PC46,LAB 16,Keyboard (Brand-HP),N,2019,34234,High,3,11370,5,3423
LAB16-PC47,LAB 16,Keyboard (Brand-HP),N,2020,29440,Medium,4,6688,5,2944
LAB13-PC55,LAB 13,Keyboard (Brand-HP),N,2020,32087,Medium,3,10548,5,3208
LAB16-PC48,LAB 16,Keyboard (Brand-HP),N,2023,31197,High,7,20314,5,3119
LAB15-PC62,LAB 15,Monitor (Brand-HP),N,2022,28383,High,7,26110,7,2838
LAB15-PC63,LAB 15,Monitor (Brand-HP),N,2018,29818,Medium,6,10536,7,2981
LAB15-PC64,LAB 15,Keyboard (Brand-HP),Y,2023,29037,High,4,11092,5,2903
LAB12-PC52,LAB 12,Keyboard (Brand-HP),N,2019,33016,High,3,10971,5,3301
LAB14-PC40,LAB 14,Keyboard (Brand-HP),N,2020,30920,Medium,4,10492,5,3092
LAB13-PC56,LAB 13,Keyboard (Brand-HP),N,2019,29322,High,4,13020,5,2932
LAB13-PC57,LAB 13,Monitor (Brand-HP),Y,2022,33681,Medium,2,5432,7,3368
LAB16-PC49,LAB 16,Monitor (Brand-HP),N,2018,30286,Low,1,2888,7,3028
LAB12-PC53,LAB 12,Keyboard (Brand-HP),Y,2023,30097,Medium,2,4134,5,3009
LAB10-PC49,LAB 10,Keyboard (Brand-HP),N,2022,33736,Low,7,10255,5,3373
LAB16-PC50,LAB 16,Keyboard (Brand-HP),N,2020,33137,Medium,7,11851,5,3313
LAB13-PC58,LAB 13,Keyboard (Brand-HP),Y,2022,32482,Medium,0,0,5,3248
LAB10-PC50,LAB 10,Keyboard (Brand-HP),N,2018,31240,High,5,9235,5,3124
LAB15-PC65,LAB 15,Keyboard (Brand-HP),N,2020,29317,Medium,5,11340,5,2931
LAB16-PC51,LAB 16,Monitor (Brand-HP),Y,2021,32204,Medium,0,0,7,3220
LAB15-PC66,LAB 15,Monitor (Brand-HP),N,2018,27283,High,2,4242,7,2728
LAB14-PC41,LAB 14,Monitor (Brand-HP),N,2018,31409,High,3,11157,7,3140
LAB14-PC42,LAB 14,Keyboard (Brand-HP),N,2023,29136,High,7,26579,5,2913
LAB10-PC51,LAB 10,Monitor (Brand-HP),Y,2021,30681,High,2,3980,7,3068
LAB12-PC54,LAB 12,Monitor (Brand-HP),Y,2021,31047,Medium,4,10004,7,3104
LAB14-PC43,LAB 14,Keyboard (Brand-HP),Y,2022,31804,Medium,0,0,5,3180
LAB14-PC44,LAB 14,Keyboard (Brand-HP),N,2020,28030,Medium,3,5610,5,2803
LAB12-PC55,LAB 12,Monitor (Brand-HP),Y,2020,33934,Medium,0,0,7,3393
LAB15-PC67,LAB 15,Keyboard (Brand-HP),N,2022,29887,Low,6,11082,5,2988
LAB12-PC56,LAB 12,Monitor (Brand-HP),N,2018,28349,High,1,1390,7,2834
LAB15-PC68,LAB 15,Keyboard (Brand-HP),Y,2021,27557,Low,0,0,5,2755
LAB12-PC57,LAB 12,Monitor (Brand-HP),Y,2022,33114,Medium,1,3661,7,3311
LAB13-PC59,LAB 13,Keyboard (Brand-HP),Y,2023,33428,High,5,10360,5,3342
LAB15-PC69,LAB 15,Monitor (Brand-HP),N,2018,30433,High,4,9724,7,3043
LAB14-PC45,LAB 14,Keyboard (Brand-HP),N,2022,32377,Low,7,14749,5,3237
LAB12-PC58,LAB 12,Keyboard (Brand-HP),N,2022,31968,Low,6,22938,5,3196
LAB10-PC52,LAB 10,Keyboard (Brand-HP),Y,2023,31097,High,3,3876,5,3109
LAB12-PC59,LAB 12,Keyboard (Brand-HP),N,2022,32426,Low,6,11700,5,3242
LAB13-PC60,LAB 13,Monitor (Brand-HP),Y,2019,33453,Medium,2,5302,7,3345
LAB16-PC52,LAB 16,Keyboard (Brand-HP),Y,2023,30348,High,3,6537,5,3034
LAB13-PC61,LAB 13,Keyboard (Brand-HP),N,2018,32934,High,3,4419,5,3293
LAB16-PC53,LAB 16,Monitor (Brand-HP),Y,2021,34626,Medium,2,2998,7,3462
LAB13-PC62,LAB 13,Keyboard (Brand-HP),Y,2022,28937,Medium,0,0,5,2893
LAB10-PC53,LAB 10,Monitor (Brand-HP),N,2023,30259,Medium,6,23622,7,3025
LAB10-PC54,LAB 10,Keyboard (Brand-HP),Y,2021,28249,Low,0,0,5,2824
LAB16-PC54,LAB 16,Monitor (Brand-HP),Y,2020,34576,Medium,1,3587,7,3457
LAB16-PC55,LAB 16,Monitor (Brand-HP),Y,2023,32073,High,1,1618,7,3207
LAB13-PC63,LAB 13,Monitor (Brand-HP),N,2018,34344,Medium,7,14287,7,3434
LAB13-PC64,LAB 13,Keyboard (Brand-HP),N,2020,32943,Medium,1,1761,5,3294
LAB16-PC56,LAB 16,Monitor (Brand-HP),Y,2019,33313,Medium,0,0,7,3331
LAB13-PC65,LAB 13,Keyboard (Brand-HP),Y,2022,31950,High,2,6766,5,3195
LAB15-PC70,LAB 15,Keyboard (Brand-HP),Y,2022,32104,High,3,10743,5,3210
LAB14-PC46,LAB 14,Keyboard (Brand-HP),Y,2023,34309,Medium,4,6176,5,3430
LAB15-PC71,LAB 15,Keyboard (Brand-HP),Y,2022,27930,High,3,9417,5,2793
LAB10-PC55,LAB 10,Monitor (Brand-HP),Y,2021,29346,Medium,3,7824,7,2934
LAB16-PC57,LAB 16,Monitor (Brand-HP),Y,2019,28291,Medium,0,0,7,2829
LAB14-PC47,LAB 14,Keyboard (Brand-HP),Y,2022,30762,Medium,3,9555,5,3076
LAB16-PC58,LAB 16,Monitor (Brand-HP),Y,2021,29762,Medium,3,4914,7,2976
LAB16-PC59,LAB 16,Keyboard (Brand-HP),N,2018,28734,High,2,2094,5,2873
LAB15-PC72,LAB 15,Keyboard (Brand-HP),N,2018,30253,High,4,11704,5,3025
LAB16-PC60,LAB 16,Monitor (Brand-HP),N,2018,33883,Medium,8,31176,7,3388
LAB10-PC56,LAB 10,Keyboard (Brand-HP),N,2018,32942,High,2,7450,5,3294
LAB13-PC66,LAB 13,Keyboard (Brand-HP),Y,2022,34634,Medium,3,8892,5,3463
LAB13-PC67,LAB 13,Monitor (Brand-HP),Y,2023,28605,High,1,2279,7,2860
LAB14-PC48,LAB 14,Keyboard (Brand-HP),N,2020,33723,Medium,6,23730,5,3372
LAB16-PC61,LAB 16,Keyboard (Brand-HP),N,2023,29460,High,6,10026,5,2946
LAB14-PC49,LAB 14,Monitor (Brand-HP),Y,2020,28850,Medium,2,7162,7,2885
LAB15-PC73,LAB 15,Keyboard (Brand-HP),N,2022,33755,Low,7,18179,5,3375
LAB13-PC68,LAB 13,Monitor (Brand-HP),N,2018,31462,High,3,8979,7,3146
LAB16-PC62,LAB 16,Monitor (Brand-HP),Y,2023,29046,Medium,5,12285,7,2904
LAB10-PC57,LAB 10,Monitor (Brand-HP),Y,2021,34069,Medium,5,6565,7,3406
LAB13-PC69,LAB 13,Keyboard (Brand-HP),N,2019,27751,High,1,2097,5,2775
LAB10-PC58,LAB 10,Keyboard (Brand-HP),N,2019,30905,High,2,7648,5,3090
LAB10-PC59,LAB 10,Monitor (Brand-HP),Y,2022,31133,High,5,18385,7,3113
LAB14-PC50,LAB 14,Monitor (Brand-HP),Y,2022,31440,Medium,1,3285,7,3144
LAB13-PC70,LAB 13,Keyboard (Brand-HP),Y,2023,32251,High,4,7764,5,3225
LAB13-PC71,LAB 13,Keyboard (Brand-HP),N,2020,31715,Medium,4,8360,5,3171
LAB10-PC60,LAB 10,Keyboard (Brand-HP),N,2019,29782,Medium,2,5476,5,2978
LAB14-PC51,LAB 14,Keyboard (Brand-HP),N,2018,32110,High,3,8427,5,3211
LAB10-PC61,LAB 10,Keyboard (Brand-HP),N,2020,29622,Medium,2,5030,5,2962
LAB10-PC62,LAB 10,Keyboard (Brand-HP),Y,2023,31987,High,4,13288,5,3198
LAB14-PC52,LAB 14,Monitor (Brand-HP),Y,2022,31512,High,5,18310,7,3151
LAB13-PC72,LAB 13,Keyboard (Brand-HP),N,2018,29613,High,3,11682,5,2961
LAB10-PC63,LAB 10,Monitor (Brand-HP),N,2018,34772,Low,5,10565,7,3477
LAB13-PC73,LAB 13,Keyboard (Brand-HP),N,2022,28688,Low,6,23514,5,2868
LAB13-PC74,LAB 13,Keyboard (Brand-HP),N,2022,29890,Low,6,23106,5,2989
LAB10-PC64,LAB 10,Monitor (Brand-HP),Y,2020,30128,Medium,0,0,7,3012
LAB12-PC60,LAB 12,Keyboard (Brand-HP),N,2020,33292,Medium,4,6656,5,3329
LAB12-PC61,LAB 12,Keyboard (Brand-HP),N,2022,29370,Low,6,19500,5,2937
LAB12-PC62,LAB 12,Monitor (Brand-HP),Y,2022,27847,Medium,3,9288,7,2784
LAB13-PC75,LAB 13,Keyboard (Brand-HP),Y,2023,27753,Medium,3,3633,5,2775
LAB14-PC53,LAB 14,Keyboard (Brand-HP),Y,2021,29039,Low,1,3789,5,2903
LAB13-PC76,LAB 13,Monitor (Brand-HP),Y,2022,27851,Medium,2,3192,7,2785
LAB12-PC63,LAB 12,Keyboard (Brand-HP),N,2018,34171,High,4,7996,5,3417
LAB10-PC65,LAB 10,Keyboard (Brand-HP),Y,2022,30979,High,4,13612,5,3097
LAB13-PC77,LAB 13,Keyboard (Brand-HP),N,2019,29491,Medium,3,10203,5,2949
LAB14-PC54,LAB 14,Monitor (Brand-HP),N,2018,29147,Low,3,10221,7,2914
LAB14-PC55,LAB 14,Monitor (Brand-HP),Y,2021,32257,Medium,4,12956,7,3225
LAB13-PC78,LAB 13,Keyboard (Brand-HP),N,2020,30520,Medium,4,13940,5,3052
LAB14-PC56,LAB 14,Monitor (Brand-HP),Y,2021,33571,High,0,0,7,3357
LAB15-PC74,LAB 15,Keyboard (Brand-HP),Y,2023,30548,High,4,15008,5,3054
LAB12-PC64,LAB 12,Monitor (Brand-HP),N,2018,28896,Medium,7,18536,7,2889
LAB15-PC75,LAB 15,Keyboard (Brand-HP),Y,2023,29233,High,4,11260,5,2923
LAB14-PC57,LAB 14,Keyboard (Brand-HP),N,2019,27874,Medium,2,3442,5,2787
LAB10-PC66,LAB 10,Monitor (Brand-HP),Y,2021,30199,Medium,4,8288,7,3019
LAB13-PC79,LAB 13,Monitor (Brand-HP),Y,2019,33260,Medium,0,0,7,3326
LAB12-PC65,LAB 12,Monitor (Brand-HP),Y,2022,32994,Medium,1,3483,7,3299
LAB16-PC63,LAB 16,Keyboard (Brand-HP),Y,2023,32834,Medium,3,3108,5,3283
LAB16-PC64,LAB 16,Keyboard (Brand-HP),N,2018,31820,High,3,6189,5,3182
LAB10-PC67,LAB 10,Monitor (Brand-HP),Y,2021,28331,Medium,5,10665,7,2833
LAB12-PC66,LAB 12,Monitor (Brand-HP),Y,2021,30415,Medium,2,4886,7,3041
LAB10-PC68,LAB 10,Monitor (Brand-HP),Y,2021,34773,High,3,6174,7,3477
LAB16-PC65,LAB 16,Keyboard (Brand-HP),Y,2021,31100,Low,0,0,5,3110
LAB12-PC67,LAB 12,Keyboard (Brand-HP),N,2019,27626,High,2,6828,5,2762
LAB16-PC66,LAB 16,Keyboard (Brand-HP),Y,2023,31762,High,4,9144,5,3176
LAB13-PC80,LAB 13,Keyboard (Brand-HP),Y,2022,31226,Medium,3,7920,5,3122
LAB10-PC69,LAB 10,Monitor (Brand-HP),N,2018,31703,Medium,6,18360,7,3170
LAB15-PC76,LAB 15,Monitor (Brand-HP),Y,2021,28182,High,1,3307,7,2818
LAB13-PC81,LAB 13,Monitor (Brand-HP),N,2022,33577,High,7,8435,7,3357
LAB15-PC77,LAB 15,Keyboard (Brand-HP),Y,2023,28654,High,3,9744,5,2865
LAB10-PC70,LAB 10,Monitor (Brand-HP),Y,2020,33531,Medium,1,2442,7,3353
LAB12-PC68,LAB 12,Monitor (Brand-HP),Y,2022,30231,Medium,1,1431,7,3023
LAB16-PC67,LAB 16,Monitor (Brand-HP),Y,2019,28199,Medium,0,0,7,2819
LAB13-PC82,LAB 13,Monitor (Brand-HP),Y,2022,34468,Medium,3,10614,7,3446
LAB15-PC78,LAB 15,Monitor (Brand-HP),Y,2021,29459,High,0,0,7,2945
LAB13-PC83,LAB 13,Monitor (Brand-HP),Y,2021,29158,Medium,1,1017,7,2915
LAB12-PC69,LAB 12,Keyboard (Brand-HP),N,2020,29096,Medium,6,20436,5,2909
LAB10-PC71,LAB 10,Keyboard (Brand-HP),N,2019,27172,High,4,11812,5,2717
LAB14-PC58,LAB 14,Keyboard (Brand-HP),N,2019,34753,Medium,4,11556,5,3475
LAB13-PC84,LAB 13,Keyboard (Brand-HP),Y,2022,29995,Medium,2,6424,5,2999
LAB13-PC85,LAB 13,Keyboard (Brand-HP),N,2020,30031,Medium,3,10431,5,3003
LAB13-PC86,LAB 13,Monitor (Brand-HP),N,2018,28059,Medium,4,4152,7,2805
LAB15-PC79,LAB 15,Monitor (Brand-HP),N,2018,29544,Low,3,10038,7,2954
LAB14-PC59,LAB 14,Monitor (Brand-HP),Y,2021,28065,Medium,2,3896,7,2806
LAB15-PC80,LAB 15,Monitor (Brand-HP),Y,2021,32845,High,0,0,7,3284
LAB13-PC87,LAB 13,Keyboard (Brand-HP),Y,2022,27829,High,2,5602,5,2782
LAB10-PC72,LAB 10,Monitor (Brand-HP),N,2018,33997,Medium,6,9228,7,3399
LAB14-PC60,LAB 14,Monitor (Brand-HP),Y,2023,28938,Medium,3,7377,7,2893
LAB12-PC70,LAB 12,Keyboard (Brand-HP),Y,2022,27331,Low,5,8875,5,2733
LAB10-PC73,LAB 10,Monitor (Brand-HP),N,2023,27740,Medium,6,12672,7,2774
LAB16-PC68,LAB 16,Monitor (Brand-HP),Y,2022,28365,Medium,3,4599,7,2836
LAB10-PC74,LAB 10,Keyboard (Brand-HP),Y,2022,31549,Medium,3,10590,5,3154
LAB15-PC81,LAB 15,Keyboard (Brand-HP),Y,2023,29660,Medium,2,5794,5,2966
LAB14-PC61,LAB 14,Keyboard (Brand-HP),Y,2023,28345,High,4,11580,5,2834
LAB13-PC88,LAB 13,Monitor (Brand-HP),N,2018,29149,High,1,3828,7,2914
LAB15-PC82,LAB 15,Monitor (Brand-HP),N,2018,29741,High,3,11379,7,2974
LAB10-PC75,LAB 10,Keyboard (Brand-HP),N,2018,33274,High,4,5884,5,3327
LAB13-PC89,LAB 13,Monitor (Brand-HP),Y,2021,27495,High,1,1116,7,2749
LAB10-PC76,LAB 10,Keyboard (Brand-HP),N,2020,28648,Medium,5,12845,5,2864
LAB15-PC83,LAB 15,Keyboard (Brand-HP),N,2018,29258,High,6,15162,5,2925
LAB15-PC84,LAB 15,Monitor (Brand-HP),N,2018,31359,Medium,7,14035,7,3135
LAB14-PC62,LAB 14,Monitor (Brand-HP),N,2018,27693,Low,4,6296,7,2769
LAB12-PC71,LAB 12,Monitor (Brand-HP),Y,2022,29779,Medium,2,2756,7,2977
LAB10-PC77,LAB 10,Keyboard (Brand-HP),N,2019,32617,Medium,2,6440,5,3261
LAB12-PC72,LAB 12,Monitor (Brand-HP),Y,2023,34655,Medium,3,11595,7,3465
LAB13-PC90,LAB 13,Keyboard (Brand-HP),N,2022,28702,Low,7,19411,5,2870
LAB10-PC78,LAB 10,Keyboard (Brand-HP),Y,2022,34753,Medium,2,2116,5,3475
LAB15-PC85,LAB 15,Monitor (Brand-HP),Y,2021,29975,Medium,3,6321,7,2997
LAB15-PC86,LAB 15,Keyboard (Brand-HP),Y,2023,27036,High,5,7195,5,2703
LAB16-PC69,LAB 16,Keyboard (Brand-HP),Y,2023,33708,High,2,3326,5,3370
LAB12-PC73,LAB 12,Monitor (Brand-HP),N,2023,32899,Medium,6,16008,7,3289
LAB14-PC63,LAB 14,Keyboard (Brand-HP),Y,2023,33850,High,4,11796,5,3385
LAB12-PC74,LAB 12,Monitor (Brand-HP),Y,2023,27300,High,2,5784,7,2730
LAB12-PC75,LAB 12,Monitor (Brand-HP),N,2018,34072,High,3,10245,7,3407
LAB15-PC87,LAB 15,Monitor (Brand-HP),Y,2022,31880,Medium,0,0,7,3188
LAB15-PC88,LAB 15,Monitor (Brand-HP),Y,2020,28798,Medium,0,0,7,2879
LAB10-PC79,LAB 10,Monitor (Brand-HP),Y,2023,28759,High,2,2316,7,2875
LAB16-PC70,LAB 16,Keyboard (Brand-HP),N,2018,27908,High,6,16680,5,2790
LAB10-PC80,LAB 10,Keyboard (Brand-HP),Y,2022,31150,Medium,1,2090,5,3115
LAB13-PC91,LAB 13,Monitor (Brand-HP),Y,2021,30259,High,0,0,7,3025
LAB12-PC76,LAB 12,Keyboard (Brand-HP),Y,2022,28772,Medium,2,3478,5,2877
LAB14-PC64,LAB 14,Monitor (Brand-HP),Y,2021,28701,Medium,2,6894,7,2870
LAB14-PC65,LAB 14,Monitor (Brand-HP),Y,2022,33696,Medium,2,4912,7,3369
LAB16-PC71,LAB 16,Monitor (Brand-HP),Y,2022,28082,Medium,1,2128,7,2808
LAB13-PC92,LAB 13,Keyboard (Brand-HP),N,2018,34048,High,5,16980,5,3404
LAB15-PC89,LAB 15,Keyboard (Brand-HP),Y,2021,31727,Low,0,0,5,3172
LAB10-PC81,LAB 10,Monitor (Brand-HP),N,2018,30307,Medium,6,8202,7,3030
LAB13-PC93,LAB 13,Monitor (Brand-HP),Y,2023,30535,High,0,0,7,3053
LAB16-PC72,LAB 16,Monitor (Brand-HP),Y,2021,28733,Medium,5,18585,7,2873
LAB15-PC90,LAB 15,Monitor (Brand-HP),N,2021,31782,Medium,6,13614,7,3178
LAB12-PC77,LAB 12,Keyboard (Brand-HP),N,2020,31563,Medium,6,17664,5,3156
LAB15-PC91,LAB 15,Monitor (Brand-HP),Y,2022,32915,Medium,2,7922,7,3291
LAB16-PC73,LAB 16,Monitor (Brand-HP),Y,2020,31158,Medium,0,0,7,3115
LAB14-PC66,LAB 14,Keyboard (Brand-HP),N,2018,28889,High,2,2210,5,2888
LAB16-PC74,LAB 16,Keyboard (Brand-HP),N,2020,32033,Medium,2,7268,5,3203
LAB16-PC75,LAB 16,Monitor (Brand-HP),Y,2020,32592,Medium,0,0,7,3259
LAB16-PC76,LAB 16,Keyboard (Brand-HP),N,2020,33530,Medium,2,7580,5,3353
LAB16-PC77,LAB 16,Keyboard (Brand-HP),N,2020,30828,Medium,5,16260,5,3082
LAB14-PC67,LAB 14,Keyboard (Brand-HP),N,2019,27652,Medium,3,9537,5,2765
LAB13-PC94,LAB 13,Keyboard (Brand-HP),N,2020,33265,Medium,4,14056,5,3326
LAB13-PC95,LAB 13,Keyboard (Brand-HP),N,2023,28195,High,7,22008,5,2819
LAB15-PC92,LAB 15,Monitor (Brand-HP),Y,2019,32606,Medium,1,3711,7,3260
LAB13-PC96,LAB 13,Monitor (Brand-HP),Y,2023,27832,Medium,5,15250,7,2783
LAB13-PC97,LAB 13,Keyboard (Brand-HP),N,2019,33474,Medium,2,4388,5,3347
LAB12-PC78,LAB 12,Keyboard (Brand-HP),Y,2022,32307,Low,4,9604,5,3230
LAB10-PC82,LAB 10,Keyboard (Brand-HP),Y,2022,31386,High,2,4414,5,3138
LAB15-PC93,LAB 15,Monitor (Brand-HP),Y,2021,32326,Medium,2,2576,7,3232
LAB13-PC98,LAB 13,Monitor (Brand-HP),Y,2021,30072,Medium,3,6786,7,3007
LAB16-PC78,LAB 16,Keyboard (Brand-HP),N,2020,27637,Medium,5,10265,5,2763
LAB15-PC94,LAB 15,Monitor (Brand-HP),Y,2021,34346,Medium,2,6716,7,3434
LAB16-PC79,LAB 16,Monitor (Brand-HP),Y,2021,27301,Medium,0,0,7,2730
LAB12-PC79,LAB 12,Monitor (Brand-HP),Y,2021,29628,Medium,5,11030,7,2962
LAB16-PC80,LAB 16,Keyboard (Brand-HP),N,2022,29030,Low,6,17766,5,2903
LAB15-PC95,LAB 15,Monitor (Brand-HP),Y,2019,28145,Medium,2,4396,7,2814
LAB10-PC83,LAB 10,Keyboard (Brand-HP),Y,2023,28313,High,3,9549,5,2831
LAB15-PC96,LAB 15,Monitor (Brand-HP),N,2018,29061,Low,4,9376,7,2906
LAB15-PC97,LAB 15,Monitor (Brand-HP),Y,2019,30126,Medium,0,0,7,3012
LAB14-PC68,LAB 14,Keyboard (Brand-HP),N,2020,34521,Medium,3,3546,5,3452
LAB13-PC99,LAB 13,Keyboard (Brand-HP),N,2022,29099,Low,6,17574,5,2909
LAB15-PC98,LAB 15,Keyboard (Brand-HP),N,2018,33432,High,4,10136,5,3343
LAB13-PC100,LAB 13,Keyboard (Brand-HP),Y,2023,29149,High,4,10728,5,2914
LAB14-PC69,LAB 14,Keyboard (Brand-HP),Y,2023,33624,Medium,2,7064,5,3362
LAB16-PC81,LAB 16,Keyboard (Brand-HP),N,2020,28201,Medium,4,14048,5,2820
LAB12-PC80,LAB 12,Keyboard (Brand-HP),Y,2021,28495,Low,0,0,5,2849
LAB12-PC81,LAB 12,Monitor (Brand-HP),Y,2021,31343,Medium,3,4569,7,3134
LAB12-PC82,LAB 12,Keyboard (Brand-HP),Y,2023,29854,High,5,7470,5,2985
LAB12-PC83,LAB 12,Monitor (Brand-HP),Y,2021,31106,Medium,5,13675,7,3110
LAB14-PC70,LAB 14,Monitor (Brand-HP),N,2018,31271,Low,5,7850,7,3127
LAB14-PC71,LAB 14,Keyboard (Brand-HP),N,2022,32788,Low,8,13288,5,3278
LAB14-PC72,LAB 14,Keyboard (Brand-HP),Y,2021,32360,Low,2,6930,5,3236
LAB15-PC99,LAB 15,Keyboard (Brand-HP),Y,2022,27015,High,2,5862,5,2701
LAB14-PC73,LAB 14,Keyboard (Brand-HP),N,2020,27668,Medium,6,14592,5,2766
LAB16-PC82,LAB 16,Monitor (Brand-HP),Y,2020,29478,Medium,1,3756,7,2947
LAB16-PC83,LAB 16,Keyboard (Brand-HP),Y,2023,27325,Medium,2,5134,5,2732
LAB16-PC84,LAB 16,Keyboard (Brand-HP),Y,2022,34507,High,3,7503,5,3450
LAB10-PC84,LAB 10,Keyboard (Brand-HP),N,2018,34456,High,3,9570,5,3445
LAB14-PC74,LAB 14,Monitor (Brand-HP),Y,2021,29296,High,0,0,7,2929
LAB14-PC75,LAB 14,Monitor (Brand-HP),Y,2022,29734,High,5,9145,7,2973
LAB15-PC100,LAB 15,Monitor (Brand-HP),Y,2022,29483,Medium,4,13820,7,2948
LAB10-PC85,LAB 10,Monitor (Brand-HP),Y,2021,28296,Medium,0,0,7,2829
LAB12-PC84,LAB 12,Monitor (Brand-HP),Y,2019,32377,Medium,0,0,7,3237
LAB12-PC85,LAB 12,Monitor (Brand-HP),Y,2023,32834,High,2,2630,7,3283
LAB10-PC86,LAB 10,Monitor (Brand-HP),Y,2023,28049,High,0,0,7,2804
LAB13-PC101,LAB 13,Monitor (Brand-HP),Y,2022,34467,Medium,2,6774,7,3446
LAB12-PC86,LAB 12,Monitor (Brand-HP),N,2018,27590,Medium,8,19792,7,2759
LAB14-PC76,LAB 14,Keyboard (Brand-HP),N,2020,33118,Medium,6,11934,5,3311
LAB15-PC101,LAB 15,Monitor (Brand-HP),N,2018,33834,Low,5,19860,7,3383
LAB15-PC102,LAB 15,Keyboard (Brand-HP),Y,2022,31235,High,2,7054,5,3123
LAB15-PC103,LAB 15,Keyboard (Brand-HP),N,2022,33275,Low,6,23568,5,3327
LAB10-PC87,LAB 10,Keyboard (Brand-HP),Y,2022,32063,Medium,2,2936,5,3206
LAB10-PC88,LAB 10,Monitor (Brand-HP),Y,2021,34764,Medium,4,9352,7,3476
LAB15-PC104,LAB 15,Keyboard (Brand-HP),N,2019,32626,Medium,2,6776,5,3262
LAB13-PC102,LAB 13,Keyboard (Brand-HP),Y,2022,33447,Medium,4,6384,5,3344
LAB14-PC77,LAB 14,Keyboard (Brand-HP),N,2020,31935,Medium,6,14394,5,3193
LAB10-PC89,LAB 10,Monitor (Brand-HP),N,2022,33872,High,6,12042,7,3387
LAB10-PC90,LAB 10,Monitor (Brand-HP),Y,2021,32339,Medium,4,12416,7,3233
LAB15-PC105,LAB 15,Monitor (Brand-HP),N,2018,33461,Medium,7,24052,7,3346
LAB10-PC91,LAB 10,Monitor (Brand-HP),Y,2021,34818,Medium,4,15576,7,3481
LAB10-PC92,LAB 10,Monitor (Brand-HP),Y,2023,31058,High,2,3038,7,3105
LAB13-PC103,LAB 13,Keyboard (Brand-HP),N,2019,27220,High,3,6825,5,2722
LAB14-PC78,LAB 14,Keyboard (Brand-HP),Y,2023,27837,Medium,2,2396,5,2783
LAB16-PC85,LAB 16,Monitor (Brand-HP),Y,2021,34060,Medium,5,14370,7,3406
LAB10-PC93,LAB 10,Keyboard (Brand-HP),N,2023,30972,High,6,14394,5,3097
LAB10-PC94,LAB 10,Keyboard (Brand-HP),N,2020,34107,Medium,2,7276,5,3410
LAB10-PC95,LAB 10,Monitor (Brand-HP),Y,2023,28330,Medium,5,9890,7,2833
LAB12-PC87,LAB 12,Monitor (Brand-HP),Y,2021,29455,Medium,5,7830,7,2945
LAB15-PC106,LAB 15,Keyboard (Brand-HP),N,2019,34948,High,4,13572,5,3494
LAB13-PC104,LAB 13,Monitor (Brand-HP),Y,2021,30029,Medium,5,9120,7,3002
LAB10-PC96,LAB 10,Keyboard (Brand-HP),N,2023,30708,High,7,8281,5,3070
LAB12-PC88,LAB 12,Keyboard (Brand-HP),N,2018,27764,High,5,14795,5,2776
LAB12-PC89,LAB 12,Keyboard (Brand-HP),N,2023,33103,High,7,10927,5,3310
LAB15-PC107,LAB 15,Keyboard (Brand-HP),N,2019,30293,High,1,1483,5,3029
LAB10-PC97,LAB 10,Monitor (Brand-HP),N,2022,30620,High,6,23046,7,3062
LAB12-PC90,LAB 12,Keyboard (Brand-HP),N,2023,30950,High,7,7805,5,3095
LAB10-PC98,LAB 10,Monitor (Brand-HP),Y,2021,28677,Medium,4,13724,7,2867
LAB14-PC79,LAB 14,Monitor (Brand-HP),Y,2021,28202,Medium,4,9580,7,2820
LAB15-PC108,LAB 15,Monitor (Brand-HP),N,2018,31448,High,3,9150,7,3144
LAB14-PC80,LAB 14,Keyboard (Brand-HP),N,2023,30453,High,6,14898,5,3045
